SL No,Asset Category,PNG Asset Title & Description,Resolution / Specs,Alpha Transparency,Target File Size Range,Visual Details & Features,Ideal Use Case / Application,Output File Preset Name
1,Pinned Sticky Notes & Paper Cutouts,Classic Canary Yellow Sticky Note with Silver Pushpin,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,2.5 MB - 4.8 MB,"Realistic paper fibers (750k particles), 3D drop shadow, metallic silver thumbtack anchor, smooth rounded corners.","UI design mockups, noticeboards, website hero sections, task lists, reminder banners.",yellow_sticky_note_silver_pin.png
2,Pinned Sticky Notes & Paper Cutouts,Torn Edge Vintage Kraft Paper Note with Translucent Tape,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,3.2 MB - 6.5 MB,"Deckled/torn bottom edge texture, recycled paper grain, matte adhesive tape strip fixed at 15-degree angle.","Vintage aesthetic posters, scrapbooks, organic brand designs, moodboards.",kraft_paper_torn_bottom_tape.png
3,Pinned Sticky Notes & Paper Cutouts,Soft Pastel Pink Pinned Memo with Gold Pushpin,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,2.4 MB - 5.0 MB,"Soft pastel shade, subtle corner curl shadow, high-specular gold metallic pin, ultra-clean edges.","Social media graphics, aesthetic Instagram stories, lifestyle & fashion branding.",pastel_pink_gold_pin_memo.png
4,Pinned Sticky Notes & Paper Cutouts,Pastel Mint Green Note with Transparent Scotch Tape,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,2.6 MB - 5.2 MB,"Mint green paper surface, realistic cellophane tape with micro bubbles and edge reflection.","Product feature callouts, educational apps, modern web dashboard widgets.",mint_green_tape_sticky_note.png
5,Pinned Sticky Notes & Paper Cutouts,Lined Notebook Scrap Paper with Red Pushpin Anchor,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,3.0 MB - 5.8 MB,"Ruled horizontal lines, torn notebook spiral perforations, vivid red glossy pushpin with drop shadow.","Student portals, note-taking apps, editorial graphics, tutorial graphics.",lined_notebook_scrap_red_pin.png
6,Pinned Sticky Notes & Paper Cutouts,High-Contrast Neon Orange Alert Note,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,2.8 MB - 5.5 MB,"Vivid vibrant orange neon hue, deep ambient occlusion shadow projection for high pop-out contrast.","Urgent notifications, discount promo badges, flash sale callouts.",neon_orange_alert_sticky_note.png
7,Volumetric Stage Spotlight Studio,Classic 45-Degree Stage Spotlight Beam & Cone Shaft,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,4.5 MB - 8.5 MB,"Volumetric light dust particles, dramatic cone ray, soft radial falloff gradient, true transparent background blend.","Product stage presentations, award ceremony banners, hero product showcases.",stage_spotlight_45deg_cone.png
8,Volumetric Stage Spotlight Studio,Broad Dramatic Illumination Light Shaft,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,5.0 MB - 9.2 MB,"Wide aperture beam, realistic haze particles, multi-layered volumetric fog texture, smooth alpha opacity transition.","Concert posters, theatrical lighting effects, cinematic background overlays.",broad_stage_illumination_shaft.png
9,Volumetric Stage Spotlight Studio,Warm Golden Hour Atmospheric God Ray / Sunbeam,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,4.8 MB - 8.9 MB,"5600K warm golden temperature light, glowing micro-dust motes, natural sunlight beam dispersion.","Nature & outdoor product ads, spiritual or dreamy visual compositions.",golden_hour_sunbeam_god_ray.png
10,Volumetric Stage Spotlight Studio,Cyberpunk Neon Blue & Magenta Dual Spotlight Beam,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,5.2 MB - 9.8 MB,"Futuristic dual chromatic beam, high-contrast cyan/magenta laser particulate spray, glowing volumetric core.","Gaming thumbnail overlays, esports graphics, synthwave/cyberpunk art.",cyberpunk_neon_dual_spotlight.png
11,Volumetric Stage Spotlight Studio,Narrow Focused Pinpoint Spotlight Laser Beam,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,3.8 MB - 7.2 MB,"Tight concentrated beam core, sharp edge boundary, high intense focal brightness, floating dust motes.","High-end luxury jewelry product highlight, mystery element spotlighting.",narrow_pinpoint_laser_spotlight.png
12,"Sand, Powder & Dust Explosion Studio",Dynamic Sand Blast & High-Velocity Powder Explosion,3840 x 2160 (4K UHD),True 32-bit RGBA Alpha,5.5 MB - 9.9 MB,"High-density micro-particle burst, organic liquid grain texture, directional kinetic dispersion clouds.","Action movie posters, sports apparel advertisements, energetic motion graphics.",sand_powder_explosion_blast.png
13,"Sand, Powder & Dust Explosion Studio",Golden Desert Sand Storm Wave & Particles,3840 x 2160 (4K UHD),True 32-bit RGBA Alpha,4.9 MB - 8.7 MB,"Fluid velocity sand waves, golden ochre grain spray, layered depth-blur sand particles.","Adventure travel banners, vehicle promotions, desert-themed branding.",golden_sand_storm_wave.png
14,"Sand, Powder & Dust Explosion Studio",Vibrant Holi Color Powder Cloud Burst (Cyan & Pink),3840 x 2160 (4K UHD),True 32-bit RGBA Alpha,6.0 MB - 9.9 MB,"Two-tone pigment powder explosion, fine powder mist, high macro texture resolution.","Festival graphic design, music album art, colorful brand launch posters.",holi_color_powder_cloud_burst.png
15,Confetti & Celebration Burst Studio,Metallic Gold & Silver Foil Confetti Burst,3840 x 2160 (4K UHD),True 32-bit RGBA Alpha,4.2 MB - 8.1 MB,"3D metallic foil rectangles & squares, specular metallic reflections, depth-of-field blur on foreground pieces.","New Year celebrations, anniversary announcements, winner podium graphics, promotional offers.",metallic_gold_silver_confetti.png
16,Confetti & Celebration Burst Studio,Multi-Color Ribbon Streamer & Party Dot Spray,3840 x 2160 (4K UHD),True 32-bit RGBA Alpha,4.0 MB - 7.8 MB,"Curled ribbon streamers, rainbow confetti circles, floating dynamic motion layout.","Birthday party invitations, festive banners, e-commerce sale announcements.",multicolor_ribbon_streamers.png
17,Confetti & Celebration Burst Studio,Shimmering Glitter Dust Particle Explosion,3840 x 2160 (4K UHD),True 32-bit RGBA Alpha,5.1 MB - 9.5 MB,"Micro glitter stars, glowing lens flares, sparkling particle dust spray with transparent alpha channel.","Cosmetics & beauty ad graphics, luxury award banners, holiday greeting cards.",shimmering_glitter_dust_explosion.png
18,Confetti & Celebration Burst Studio,Manga / Comic Action Kinetic Radial Speed Spikes,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,3.5 MB - 6.8 MB,"Radial zoom speed lines, bold anime/manga impact burst, sharp line vectors with gradient shading.","Manga comic illustrations, anime thumbnails, high-energy product launch highlights.",manga_radial_speed_spikes.png
19,Confetti & Celebration Burst Studio,Kinetic Ink Dry-Brush Stroke Cluster,3840 x 3840 (4K UHD),True 32-bit RGBA Alpha,4.1 MB - 7.9 MB,"180+ kinetic brush strokes, 300+ bristle lines, organic ink texture, dry-brush edge distress.","Calligraphy backgrounds, typography emphasis, martial arts or fitness graphic posters.",kinetic_ink_brush_cluster.png
20,Gemini AI Custom Asset Generator,Gemini AI Style-Matched 4K Cutout Asset Set (4 Variations),3840 x 2160 / 3840 x 3840,True 32-bit RGBA Alpha,2.0 MB - 10.0 MB,AI visual style analysis of reference image -> Automatic generation of 4 matching 4K transparent PNGs.,"Custom client branding, bespoke graphic asset creation, automated design expansion.",gemini_ai_custom_style_variations.png
