ID,Category,PNG Asset / Effect,Search Keywords / Tags,Resolution & Format
1,Sticky Notes,Yellow Sticky Note + Silver Pin,"sticky note, yellow memo, pin, paper cutout",4K PNG
2,Sticky Notes,Kraft Paper Torn Bottom + Tape,"kraft paper, torn edge, scotch tape, vintage",4K PNG
3,Sticky Notes,Pastel Pink Memo + Gold Pin,"pastel pink, memo note, gold pin, aesthetic",4K PNG
4,Sticky Notes,Pastel Mint Green + Cellophane Tape,"mint green, note, clear tape, UI widget",4K PNG
5,Sticky Notes,Lined Notebook Scrap + Red Pin,"lined paper, notebook torn, red pushpin",4K PNG
6,Sticky Notes,Neon Orange Alert Sticky Note,"neon orange, alert banner, shadow projection",4K PNG
7,Light Beams,45° Diagonal Stage Spotlight Beam,"spotlight, light shaft, volumetric beam, stage light",4K PNG
8,Light Beams,Broad Stage Illumination Cone,"stage beam, light haze, concert light, atmosphere",4K PNG
9,Light Beams,Warm Golden Hour Sunbeam (God Ray),"sunbeam, god ray, golden light, nature ray",4K PNG
10,Light Beams,Cyberpunk Neon Dual Beam (Cyan/Magenta),"neon light, cyberpunk ray, laser spotlight, gaming",4K PNG
11,Light Beams,Focused Pinpoint Laser Spotlight,"laser spot, narrow beam, jewelry highlight",4K PNG
12,Sand & Powder,Dynamic Sand Blast & Powder Explosion,"sand blast, powder explosion, dust cloud, particle burst",4K PNG
13,Sand & Powder,Golden Desert Sand Storm Wave,"desert sand, sand wave, dust storm, particles",4K PNG
14,Sand & Powder,Holi Color Powder Cloud Burst,"color powder, holi burst, cyan magenta dust, festival",4K PNG
15,Confetti & FX,Metallic Gold & Silver Foil Confetti,"confetti burst, gold foil, silver confetti, celebration",4K PNG
16,Confetti & FX,Multi-Color Party Ribbon Streamers,"party ribbons, streamers, rainbow confetti, birthday",4K PNG
17,Confetti & FX,Shimmering Glitter Dust Particle Burst,"glitter spray, sparkle dust, lens flare, beauty FX",4K PNG
18,Confetti & FX,Manga Anime Radial Speed Spikes,"speed lines, anime burst, manga spikes, action lines",4K PNG
19,Confetti & FX,Kinetic Ink Dry-Brush Stroke Cluster,"ink splash, brush stroke, dry brush, typography FX",4K PNG
20,AI Custom FX,Gemini AI Style-Matched 4K Cutouts,"gemini AI asset, style match, custom PNG generator",4K PNG
