SL,2-Word Google Search Topic,Asset Category
1,Sticky Note,Paper Assets
2,Kraft Paper,Paper Assets
3,Torn Paper,Paper Assets
4,Gold Pin,Paper Assets
5,Scotch Tape,Paper Assets
6,Paper Clip,Paper Assets
7,Lined Memo,Paper Assets
8,Stage Spotlight,Light Effects
9,Volumetric Fog,Light Effects
10,God Ray,Light Effects
11,Sun Beam,Light Effects
12,Neon Light,Light Effects
13,Laser Beam,Light Effects
14,Powder Burst,Powder & Sand
15,Sand Blast,Powder & Sand
16,Dust Cloud,Powder & Sand
17,Holi Color,Powder & Sand
18,Gold Confetti,Confetti & FX
19,Silver Foil,Confetti & FX
20,Party Ribbon,Confetti & FX
21,Glitter Spray,Confetti & FX
22,Lens Flare,Confetti & FX
23,Speed Lines,Action & Art
24,Anime Burst,Action & Art
25,Brush Stroke,Action & Art
26,Ink Splash,Action & Art
27,Particle Wave,Action & Art
28,Smoke Trail,Powder & Sand
29,Prism Ray,Light Effects
30,Light Shaft,Light Effects
