ID,Category,2-3 Word Search Topic,Recommended Google Search Query,Output Spec
1,Sticky Notes & Paper Cutouts,Yellow Sticky Note,Yellow Sticky Note transparent PNG 4K,4K PNG (32-bit RGBA)
2,Sticky Notes & Paper Cutouts,Pink Sticky Note,Pink Sticky Note transparent PNG 4K,4K PNG (32-bit RGBA)
3,Sticky Notes & Paper Cutouts,Mint Sticky Note,Mint Sticky Note transparent PNG 4K,4K PNG (32-bit RGBA)
4,Sticky Notes & Paper Cutouts,Blue Sticky Note,Blue Sticky Note transparent PNG 4K,4K PNG (32-bit RGBA)
5,Sticky Notes & Paper Cutouts,Orange Sticky Note,Orange Sticky Note transparent PNG 4K,4K PNG (32-bit RGBA)
6,Sticky Notes & Paper Cutouts,Purple Sticky Note,Purple Sticky Note transparent PNG 4K,4K PNG (32-bit RGBA)
7,Sticky Notes & Paper Cutouts,Neon Sticky Note,Neon Sticky Note transparent PNG 4K,4K PNG (32-bit RGBA)
8,Sticky Notes & Paper Cutouts,Pastel Sticky Note,Pastel Sticky Note transparent PNG 4K,4K PNG (32-bit RGBA)
9,Sticky Notes & Paper Cutouts,Square Paper Note,Square Paper Note transparent PNG 4K,4K PNG (32-bit RGBA)
10,Sticky Notes & Paper Cutouts,Torn Edge Paper,Torn Edge Paper transparent PNG 4K,4K PNG (32-bit RGBA)
11,Sticky Notes & Paper Cutouts,Deckled Edge Paper,Deckled Edge Paper transparent PNG 4K,4K PNG (32-bit RGBA)
12,Sticky Notes & Paper Cutouts,Kraft Paper Scrap,Kraft Paper Scrap transparent PNG 4K,4K PNG (32-bit RGBA)
13,Sticky Notes & Paper Cutouts,Recycled Brown Paper,Recycled Brown Paper transparent PNG 4K,4K PNG (32-bit RGBA)
14,Sticky Notes & Paper Cutouts,Lined Notebook Paper,Lined Notebook Paper transparent PNG 4K,4K PNG (32-bit RGBA)
15,Sticky Notes & Paper Cutouts,Grid Graph Paper,Grid Graph Paper transparent PNG 4K,4K PNG (32-bit RGBA)
16,Sticky Notes & Paper Cutouts,Dot Grid Paper,Dot Grid Paper transparent PNG 4K,4K PNG (32-bit RGBA)
17,Sticky Notes & Paper Cutouts,Vintage Parchment,Vintage Parchment transparent PNG 4K,4K PNG (32-bit RGBA)
18,Sticky Notes & Paper Cutouts,Burnt Edge Paper,Burnt Edge Paper transparent PNG 4K,4K PNG (32-bit RGBA)
19,Sticky Notes & Paper Cutouts,Folded Paper Scrap,Folded Paper Scrap transparent PNG 4K,4K PNG (32-bit RGBA)
20,Sticky Notes & Paper Cutouts,Crushed Paper Ball,Crushed Paper Ball transparent PNG 4K,4K PNG (32-bit RGBA)
21,Sticky Notes & Paper Cutouts,Spiral Memo Sheet,Spiral Memo Sheet transparent PNG 4K,4K PNG (32-bit RGBA)
22,Sticky Notes & Paper Cutouts,Index Card Note,Index Card Note transparent PNG 4K,4K PNG (32-bit RGBA)
23,Sticky Notes & Paper Cutouts,Receipt Paper Cutout,Receipt Paper Cutout transparent PNG 4K,4K PNG (32-bit RGBA)
24,Sticky Notes & Paper Cutouts,Cardboard Scrap,Cardboard Scrap transparent PNG 4K,4K PNG (32-bit RGBA)
25,Sticky Notes & Paper Cutouts,Newsprint Clipping,Newsprint Clipping transparent PNG 4K,4K PNG (32-bit RGBA)
26,Sticky Notes & Paper Cutouts,Paper Tag Label,Paper Tag Label transparent PNG 4K,4K PNG (32-bit RGBA)
27,Sticky Notes & Paper Cutouts,Envelope Scrap,Envelope Scrap transparent PNG 4K,4K PNG (32-bit RGBA)
28,Sticky Notes & Paper Cutouts,Postcard Cutout,Postcard Cutout transparent PNG 4K,4K PNG (32-bit RGBA)
29,Sticky Notes & Paper Cutouts,Bookmark Strip,Bookmark Strip transparent PNG 4K,4K PNG (32-bit RGBA)
30,Sticky Notes & Paper Cutouts,Origami Fold Note,Origami Fold Note transparent PNG 4K,4K PNG (32-bit RGBA)
31,Sticky Notes & Paper Cutouts,Watercolor Paper Scrap,Watercolor Paper Scrap transparent PNG 4K,4K PNG (32-bit RGBA)
32,Sticky Notes & Paper Cutouts,Handmade Fiber Paper,Handmade Fiber Paper transparent PNG 4K,4K PNG (32-bit RGBA)
33,Sticky Notes & Paper Cutouts,Gold Foil Edge Paper,Gold Foil Edge Paper transparent PNG 4K,4K PNG (32-bit RGBA)
34,Sticky Notes & Paper Cutouts,Black Paper Note,Black Paper Note transparent PNG 4K,4K PNG (32-bit RGBA)
35,Sticky Notes & Paper Cutouts,Translucent Vellum Sheet,Translucent Vellum Sheet transparent PNG 4K,4K PNG (32-bit RGBA)
36,"Fasteners, Pins & Tapes",Silver Pushpin,Silver Pushpin transparent PNG 4K,4K PNG (32-bit RGBA)
37,"Fasteners, Pins & Tapes",Gold Pushpin,Gold Pushpin transparent PNG 4K,4K PNG (32-bit RGBA)
38,"Fasteners, Pins & Tapes",Red Thumbtack,Red Thumbtack transparent PNG 4K,4K PNG (32-bit RGBA)
39,"Fasteners, Pins & Tapes",Blue Thumbtack,Blue Thumbtack transparent PNG 4K,4K PNG (32-bit RGBA)
40,"Fasteners, Pins & Tapes",Black Pushpin,Black Pushpin transparent PNG 4K,4K PNG (32-bit RGBA)
41,"Fasteners, Pins & Tapes",Wooden Pushpin,Wooden Pushpin transparent PNG 4K,4K PNG (32-bit RGBA)
42,"Fasteners, Pins & Tapes",Transparent Pushpin,Transparent Pushpin transparent PNG 4K,4K PNG (32-bit RGBA)
43,"Fasteners, Pins & Tapes",Silver Paperclip,Silver Paperclip transparent PNG 4K,4K PNG (32-bit RGBA)
44,"Fasteners, Pins & Tapes",Gold Paperclip,Gold Paperclip transparent PNG 4K,4K PNG (32-bit RGBA)
45,"Fasteners, Pins & Tapes",Black Binder Clip,Black Binder Clip transparent PNG 4K,4K PNG (32-bit RGBA)
46,"Fasteners, Pins & Tapes",Copper Paperclip,Copper Paperclip transparent PNG 4K,4K PNG (32-bit RGBA)
47,"Fasteners, Pins & Tapes",Bulldog Metal Clip,Bulldog Metal Clip transparent PNG 4K,4K PNG (32-bit RGBA)
48,"Fasteners, Pins & Tapes",Safety Pin Metal,Safety Pin Metal transparent PNG 4K,4K PNG (32-bit RGBA)
49,"Fasteners, Pins & Tapes",Brass Fastener Brad,Brass Fastener Brad transparent PNG 4K,4K PNG (32-bit RGBA)
50,"Fasteners, Pins & Tapes",Magnet Button Anchor,Magnet Button Anchor transparent PNG 4K,4K PNG (32-bit RGBA)
51,"Fasteners, Pins & Tapes",Scotch Tape Strip,Scotch Tape Strip transparent PNG 4K,4K PNG (32-bit RGBA)
52,"Fasteners, Pins & Tapes",Washi Tape Floral,Washi Tape Floral transparent PNG 4K,4K PNG (32-bit RGBA)
53,"Fasteners, Pins & Tapes",Grid Washi Tape,Grid Washi Tape transparent PNG 4K,4K PNG (32-bit RGBA)
54,"Fasteners, Pins & Tapes",Brown Masking Tape,Brown Masking Tape transparent PNG 4K,4K PNG (32-bit RGBA)
55,"Fasteners, Pins & Tapes",Clear Cellophane Tape,Clear Cellophane Tape transparent PNG 4K,4K PNG (32-bit RGBA)
56,"Fasteners, Pins & Tapes",Duct Tape Strip,Duct Tape Strip transparent PNG 4K,4K PNG (32-bit RGBA)
57,"Fasteners, Pins & Tapes",Patterned Craft Tape,Patterned Craft Tape transparent PNG 4K,4K PNG (32-bit RGBA)
58,"Fasteners, Pins & Tapes",Corner Photo Sticker,Corner Photo Sticker transparent PNG 4K,4K PNG (32-bit RGBA)
59,"Fasteners, Pins & Tapes",Wax Seal Stamp,Wax Seal Stamp transparent PNG 4K,4K PNG (32-bit RGBA)
60,"Fasteners, Pins & Tapes",Adhesive Sticker Tag,Adhesive Sticker Tag transparent PNG 4K,4K PNG (32-bit RGBA)
61,Stage Lights & Spotlights,Stage Cone Spotlight,Stage Cone Spotlight transparent PNG 4K,4K PNG (32-bit RGBA)
62,Stage Lights & Spotlights,Diagonal Light Shaft,Diagonal Light Shaft transparent PNG 4K,4K PNG (32-bit RGBA)
63,Stage Lights & Spotlights,Broad Stage Spotlight,Broad Stage Spotlight transparent PNG 4K,4K PNG (32-bit RGBA)
64,Stage Lights & Spotlights,Narrow Laser Spotlight,Narrow Laser Spotlight transparent PNG 4K,4K PNG (32-bit RGBA)
65,Stage Lights & Spotlights,Prism Rainbow Spotlight,Prism Rainbow Spotlight transparent PNG 4K,4K PNG (32-bit RGBA)
66,Stage Lights & Spotlights,Cyberpunk Neon Spotlight,Cyberpunk Neon Spotlight transparent PNG 4K,4K PNG (32-bit RGBA)
67,Stage Lights & Spotlights,Warm Stage Spotlight,Warm Stage Spotlight transparent PNG 4K,4K PNG (32-bit RGBA)
